TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
23.0,33.6,26.2,90.0,1.0,6.7,3,210.0,1,SW
23.9,32.0,27.1,87.0,39.6,5.6,3,200.0,1,S 
20.4,32.2,24.7,94.0,2.3,3.4,4,260.0,2,N 
23.2,32.0,26.4,90.0,15.7,2.4,4,180.0,2,S 
24.0,31.6,26.3,92.0,0.5,6.0,3,150.0,1,W 
23.5,31.4,26.5,86.0,2.1,4.7,5,230.0,2,SW
22.4,31.8,26.3,86.0,0.0,6.8,4,230.0,2,SW
25.2,31.6,27.2,86.0,6.713162705667276,8.8,5,200.0,2,S 
24.5,31.8,27.2,86.0,0.0,7.9,3,200.0,1,SW
23.6,31.6,26.9,88.0,6.713162705667276,2.9,4,200.0,2,SW
22.8,32.2,26.8,84.0,0.0,7.8,4,210.0,2,S 
23.8,30.4,26.4,90.0,8.0,8.9,5,260.0,3,W 
23.8,30.8,26.3,88.0,1.2,6.5,5,230.0,2,SW
23.6,32.4,26.8,88.0,6.713162705667276,5.9,3,260.0,1,S 
23.1,30.8,25.6,92.0,27.5,7.1,5,250.0,1,C 
23.8,28.0,25.0,95.0,1.9,0.0,3,200.0,1,C 
23.2,30.6,25.9,89.0,1.2,0.0,3,200.0,1,SW
23.8,31.6,27.1,88.0,6.713162705667276,0.0,3,260.0,1,SW
23.4,33.0,27.2,88.0,6.713162705667276,5.9,3,200.0,1,SW
24.7,32.8,27.9,87.0,0.0,9.1,4,180.0,2,S 
24.8,32.8,27.8,87.0,0.0,8.7,4,250.0,2,SW
24.9,33.0,27.6,88.0,0.0,9.7,4,220.0,1,SW
23.5,33.0,26.7,88.0,0.0,8.4,3,240.0,2,S 
24.7,33.4,26.8,90.0,0.0,8.4,3,100.0,1,E 
23.6,32.0,27.1,88.0,17.6,8.1,4,210.0,2,SW
23.6,32.4,27.6,89.0,0.3,7.2,3,220.0,1,NW
24.0,33.8,26.4,92.0,0.0,7.7,3,240.0,1,SW
23.8,33.0,27.7,86.0,19.5,4.5,3,200.0,1,S 
24.8,32.8,27.7,88.0,6.713162705667276,8.2,2,200.0,1,C 
25.0,32.0,27.4,90.0,1.5,7.1,2,200.0,1,C 
24.6,31.8,26.9,91.0,6.713162705667276,4.3,2,210.0,1,NE
23.6,32.6,27.4,88.0,1.6,2.8,3,200.0,1,S 
24.7,33.0,26.6,93.0,0.0,6.3,3,240.0,1,C 
24.0,33.0,27.3,90.0,3.0,4.9,2,90.0,1,C 
24.4,31.6,27.4,92.0,0.8,4.7,3,210.0,1,NE
25.1,33.0,26.4,92.0,0.2,3.3,3,180.0,1,E 
24.3,31.0,27.1,92.0,67.5,4.8,3,200.0,1,C 
25.0,31.4,27.5,92.0,1.2,5.0,3,240.0,2,SW
25.4,31.8,27.6,90.0,1.5,3.9,2,210.0,1,SW
24.2,32.6,27.4,86.0,0.0,3.6,3,200.0,1,S 
24.2,32.8,29.5,81.0,0.0,6.4,2,320.0,1,S 
24.2,34.4,28.1,86.0,0.0,5.4,2,60.0,1,C 
25.0,33.8,27.7,89.0,0.0,7.4,4,60.0,1,NE
24.2,32.4,29.7,81.0,4.6,4.8,4,240.0,1,SW
24.2,31.6,26.9,82.0,0.0,9.0,3,200.0,1,S 
22.0,30.2,27.8,78.0,0.0,8.4,4,180.0,2,S 
22.2,31.2,25.5,84.0,0.0,8.7,2,210.0,1,C 
20.8,31.2,25.2,87.0,0.0,8.9,2,210.0,1,SW
21.6,31.2,25.6,83.0,0.0,9.6,4,200.0,2,S 
21.3,30.4,25.1,86.0,0.0,9.0,4,200.0,2,S 
22.4,31.6,26.3,85.0,0.0,8.6,3,220.0,2,SW
22.4,33.0,26.4,82.0,0.0,6.6,3,240.0,1,SW
22.1,32.4,26.1,84.0,0.0,9.2,4,210.0,2,SW
22.0,32.2,25.8,84.0,0.0,8.7,2,260.0,2,S 
21.8,31.4,25.8,84.0,0.0,9.7,4,220.0,1,S 
22.0,32.0,25.8,86.0,0.0,9.6,3,180.0,2,S 
23.8,31.4,26.5,86.0,1.5,9.8,2,150.0,1,C 
22.4,33.2,29.5,73.0,0.0,7.8,3,250.0,2,S 
23.2,32.6,27.1,80.0,0.0,9.7,3,180.0,1,S 
22.0,31.4,25.4,83.0,0.0,6.2,3,190.0,1,S 
22.2,31.8,28.5,74.0,0.0,8.4,2,150.0,1,SW
22.0,31.8,28.7,72.0,0.0,8.6,3,220.0,1,S 
23.2,32.0,28.8,74.0,0.0,10.0,2,240.0,1,SW
22.6,32.4,26.3,84.0,0.0,6.4,2,220.0,1,SW
23.0,32.0,26.8,86.0,0.0,7.8,3,180.0,2,S 
23.6,32.2,28.8,78.0,0.0,5.5,3,190.0,1,SW
24.2,32.0,27.0,85.0,0.0,7.6,4,70.0,2,S 
23.8,31.8,26.4,86.0,0.0,8.7,4,180.0,1,S 
23.8,29.2,25.8,88.0,6.713162705667276,6.0,3,200.0,1,S 
24.2,30.0,27.5,84.0,0.0,1.6,4,250.0,2,S 
24.0,32.2,26.8,86.0,0.0,0.5,2,190.0,1,SW
23.6,33.4,26.9,81.0,0.0,6.5,2,230.0,1,NE
23.2,30.8,25.9,88.0,0.0,9.4,2,240.0,1,SW
22.0,30.4,25.7,88.0,0.0,7.6,4,180.0,2,S 
23.3,32.4,29.5,77.0,0.0,5.5,4,200.0,2,S 
23.8,33.0,27.4,84.0,1.5,7.3,2,80.0,1,SW
24.0,32.0,28.9,73.0,0.0,7.2,3,180.0,1,S 
